id,ecoregion_name,biome,realm,ecoregion_area,area_protected,percent_protected
60131,Jamaican moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,8314.433183,1133.2970269999998,13.6%
81328,South Iran Nubo-Sindian desert and semi-desert,Deserts & Xeric Shrublands,Palearctic,352233.6683,21814.67927,6.2%
10122,Southern New Guinea lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,123143.056,5853.814769,4.8%
40142,Orissa semi-evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,22341.6093,1603.044325,7.2%
61008,Southern Andean steppe,Montane Grasslands & Shrublands,Neotropics,125189.6789,26159.59126,20.9%
40145,Peninsular Malaysian peat swamp forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,3634.3165740000004,142.30381699999998,3.9%
81316,Great Lakes Basin desert steppe,Deserts & Xeric Shrublands,Palearctic,157569.9547,32239.02286,20.5%
60156,Purus varzeá,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,177935.7268,76482.55704,43.0%
30720,St. Helena scrub and woodlands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,130.7755246,35.58040468,27.2%
50806,Edwards Plateau savanna,"Temperate Grasslands, Savannas & Shrublands",Nearctic,61937.08983,150.70897050000002,0.2%
10407,Rakiura Island temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,1694.2672949999999,1315.3277970000001,77.6%
51115,Middle Arctic tundra,Tundra,Nearctic,1035232.2990000001,50944.154839999996,4.9%
61311,Malpelo Island xeric scrub,Deserts & Xeric Shrublands,Neotropics,7.706705735,7.706705735,100.0%
51106,Beringia lowland tundra,Tundra,Nearctic,151292.6591,100129.8378,66.2%
11304,Great Sandy-Tanami desert,Deserts & Xeric Shrublands,Australasia,824816.6638,260978.6559,31.6%
40128,Mindanao montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,18238.08859,4297.389552000001,23.6%
80512,Khangai Mountains conifer forests,Temperate Conifer Forests,Palearctic,2899.627481,1262.363531,43.5%
80507,Elburz Range forest steppe,Temperate Conifer Forests,Palearctic,63407.2393,6130.309656,9.7%
81203,Canary Islands dry woodlands and forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,4985.4078469999995,2571.714786,51.6%
11309,Tirari-Sturt stony desert,Deserts & Xeric Shrublands,Australasia,377728.4772,30933.824539999998,8.2%
10802,Eastern Australia mulga shrublands,"Temperate Grasslands, Savannas & Shrublands",Australasia,254478.3199,8913.902028,3.5%
51114,Low Arctic tundra,Tundra,Nearctic,798398.7406,128841.9759,16.1%
